CONSENSUS MASTER INGEST AUDIT — 2026-04-24T08:09:26+00:00

Source: consensus_master_2026 | Weight: 10.0 | Players in CSV: 741
Matched: 552 | Unmatched: 189
source_players inserted: 0 | source_rankings inserted: 0 | SPM inserted: 0

=== UNMATCHED PLAYERS (not in active prospect universe — no DB write) ===
  rank= 607 | Owen McCown                         | QB     | UTSA
  rank= 608 | Gavin Gibson                        | CB     | North Carolina
  rank= 609 | Darren Agu                          | EDGE   | New Mexico
  rank= 611 | Richard Reese                       | RB     | Stephen F. Austin
  rank= 612 | Cade McConnell                      | IOL    | Vanderbilt
  rank= 613 | Braxton Fely                        | DL     | Boise State
  rank= 615 | Bryan McCoy                         | LB     | Oklahoma State
  rank= 616 | Jackson Lee                         | LS     | Florida Atlantic
  rank= 618 | Lance St. Louis                     | LS     | Texas
  rank= 624 | Korey Foreman                       | EDGE   | Fresno State
  rank= 625 | Sage Ryan                           | S      | Mississippi
  rank= 627 | Prince Kollie                       | LB     | Vanderbilt
  rank= 628 | Trevion Cooley                      | RB     | Troy
  rank= 629 | Ethan Calvert                       | LB     | Cal Poly
  rank= 630 | Cade Denhoff                        | EDGE   | Clemson
  rank= 631 | Christian Leary                     | WR     | Western Michigan
  rank= 633 | J.P. Benzschawel                    | IOL    | Wisconsin
  rank= 634 | Jonathan Jefferson                  | DL     | SMU
  rank= 637 | Damarius McGhee                     | CB     | Florida Atlantic
  rank= 638 | Raesjon Davis                       | LB     | Oregon State
  rank= 640 | Terrence Ferguson II                | IOL    | Syracuse
  rank= 641 | Ty Thompson                         | TE     | Tulane
  rank= 642 | Deion Colzie                        | WR     | Miami (OH)
  rank= 643 | Savion Byrd                         | IOL    | SMU
  rank= 644 | Bram Walden                         | IOL    | Arizona State
  rank= 645 | Jaylin Davies                       | CB     | Oklahoma State
  rank= 646 | Armoni Goodwin                      | RB     | UT Martin
  rank= 647 | Kyron Ware-Hudson                   | WR     | Penn State
  rank= 648 | Zaire Patterson                     | EDGE   | Clemson
  rank= 649 | Kadarius Calloway                   | RB     | New Mexico State
  rank= 650 | Raheem Anderson                     | IOL    | Western Michigan
  rank= 651 | Marcus Burris                       | DL     | Memphis
  rank= 652 | Tywone Malone                       | DL     | Ohio State
  rank= 653 | Avante Dickerson                    | CB     | Arkansas State
  rank= 654 | David Daniel-Sisavanh               | S      | Troy
  rank= 656 | Reid Carrico                        | LB     | West Virginia
  rank= 657 | Elliot Donald                       | DL     | Pittsburgh
  rank= 658 | Kelvin Gilliam                      | DL     | Virginia Tech
  rank= 660 | Teddy Prochazka                     | OT     | Nebraska
  rank= 661 | Keanu Koht                          | EDGE   | Vanderbilt
  rank= 662 | Jayden Ballard                      | WR     | Wisconsin
  rank= 663 | Bryce Carter                        | DL     | Texas State
  rank= 665 | Malik McClain                       | WR     | Arizona State
  rank= 666 | JoJo Earle                          | WR     | UNLV
  rank= 670 | Tiaoalii Savea                      | DL     | Arizona
  rank= 671 | Dylan Rosiek                        | LB     | Illinois
  rank= 674 | Jayden Thomas                       | WR     | Virginia
  rank= 680 | Alton McCaskill IV                  | RB     | Sam Houston State
  rank= 685 | Barika Kpeenu                       | RB     | North Dakota State
  rank= 687 | Darian Chestnut                     | CB     | Syracuse
  rank= 689 | Cade Zimmerly                       | IOL    | Bowling Green
  rank= 690 | Marquis Gillis                      | RB     | Arizona State
  rank= 691 | Bert Auburn                         | K      | Miami (FL)
  rank= 692 | Ross James                          | P      | Oregon
  rank= 693 | Kamryn Waites                       | IOL    | Florida
  rank= 696 | Tosh Baker                          | OT     | Notre Dame
  rank= 697 | Turner Corcoran                     | IOL    | Nebraska
  rank= 700 | Demon Clowney                       | EDGE   | South Carolina
  rank= 701 | Jeff Sims                           | QB     | Arizona State
  rank= 702 | Aki Ogunbiyi                        | IOL    | Colorado
  rank= 703 | E.J. Smith                          | RB     | Texas A&M
  rank= 704 | Chad Lindberg                       | IOL    | North Carolina
  rank= 705 | Stephen Dix Jr.                     | LB     | Arkansas
  rank= 706 | Drew Pyne                           | QB     | Bowling Green
  rank= 707 | Zykeivous Walker                    | DL     | Auburn
  rank= 708 | Key Lawrence                        | CB     | UCLA
  rank= 709 | Reggie Grimes                       | EDGE   | Memphis
  rank= 710 | Malcolm Greene                      | S      | UMass
  rank= 713 | Xavier Hill                         | IOL    | Colorado
  rank= 714 | Courtland Ford                      | OT     | UCLA
  rank= 715 | Devin Neal                          | S      | Virginia
  rank= 718 | Jalen Berger                        | RB     | UCLA
  rank= 719 | Gilber Edmond                       | EDGE   | South Carolina
  rank= 722 | Will Shaffer                        | LB     | Abilene Christian
  rank= 723 | Nate Rutchena                       | TE     | UC Davis
  rank= 724 | Cam Porter                          | RB     | Northwestern
  rank= 726 | Stefon Thompson                     | LB     | Florida State
  rank= 728 | Tyree Skipper                       | S      | Louisiana-Lafayette
  rank= 729 | Matthew Sluka                       | QB     | James Madison
  rank= 733 | Ja'Varrius Johnson                  | WR     | UCF
  rank= 734 | Cade McNamara                       | QB     | East Tennessee State
  rank= 740 | Antonio Clary                       | S      | Virginia
  rank= 741 | Isheem Young                        | S      | Memphis


=== SPM NORMALIZATION PATCH [APPLY] — 2026-04-24T08:09:26+00:00 ===
Unlinked source_players scanned: 12
Matchable: 0 | Unresolvable: 12


--- Unresolvable source_players (no active prospect match) ---
  drafttek_2026                       | 'C.J. Daniels' | norm=j daniels
  drafttek_2026                       | 'C.J. Donaldson' | norm=j donaldson
  drafttek_2026                       | 'Cole Maynard' | norm=cole maynard
  drafttek_2026                       | 'Dean Conners' | norm=dean conners
  drafttek_2026                       | 'Devin Bale' | norm=devin bale
  drafttek_2026                       | 'Kansei Matsuzawa' | norm=kansei matsuzawa
  drafttek_2026                       | 'Keanu Tanuvasa' | norm=keanu tanuvasa
  drafttek_2026                       | 'Laith Marjan' | norm=laith marjan
  drafttek_2026                       | 'Mohamed Toure' | norm=mohamed toure
  drafttek_2026                       | 'Nic Anderson' | norm=nic anderson
  drafttek_2026                       | 'Sebastian Harsh' | norm=sebastian harsh
  drafttek_2026                       | 'Wes Pahl' | norm=wes pahl
