Player,Team,YearSigned,Years,,Value,APY,Guaranteed,,APY as % OfCap At Signing,,InflatedValue,InflatedAPY,InflatedGuaranteed
Matt Ryan,Falcons,2013,5,,"$103,750,000","$20,750,000","$42,000,000",,16.9%,,"$254,060,976","$50,812,195","$102,848,780"
Kirk Cousins,Vikings,2022,1,,"$35,000,000","$35,000,000","$70,000,000",,16.8%,,"$50,634,006","$50,634,006","$101,268,012"
Derek Carr,Saints,2023,4,,"$150,000,000","$37,500,000","$60,000,000",,16.7%,,"$200,978,648","$50,244,662","$80,391,459"
Aaron Rodgers,Jets,2023,3,,"$112,500,000","$37,500,000","$75,000,000",,16.7%,,"$150,733,986","$50,244,662","$100,489,324"
Kirk Cousins,Vikings,2020,2,,"$66,000,000","$33,000,000","$61,000,000",,16.6%,,"$100,298,688","$50,149,344","$92,700,303"
Drew Brees,Saints,2012,5,,"$100,000,000","$20,000,000","$40,000,000",,16.6%,,"$249,751,244","$49,950,249","$99,900,498"
Joe Flacco,Ravens,2013,6,,"$120,600,000","$20,100,000","$51,000,000",,16.3%,,"$295,322,927","$49,220,488","$124,887,805"
Matt Stafford,LAR/DET,2017,5,,"$135,000,000","$27,000,000","$60,500,000",,16.2%,,"$243,485,030","$48,697,006","$109,117,365"
Michael Vick,Falcons,2004,7,,"$91,000,000","$13,000,000","$30,000,000",,16.1%,,"$340,140,478","$48,591,497","$112,134,224"
Peyton Manning,Broncos,2012,5,,"$96,000,000","$19,200,000","$18,000,000",,15.9%,,"$239,761,194","$47,952,239","$44,955,224"
Dak Prescott,Cowboys,2020,1,,"$31,409,000","$31,409,000","$31,409,000",,15.8%,,"$47,731,538","$47,731,538","$47,731,538"
Andrew Luck,Colts,2016,5,,"$122,970,000","$24,594,000","$47,000,000",,15.8%,,"$238,542,951","$47,708,590","$91,172,796"
Kirk Cousins,Vikings,2018,3,,"$84,000,000","$28,000,000","$84,000,000",,15.8%,,"$142,781,038","$47,593,679","$142,781,038"
Dan Marino,Dolphins,1996,2,,"$12,850,000","$6,425,000","$5,800,000",,15.8%,,"$94,972,640","$47,486,320","$42,867,028"
Drew Bledsoe,NE/BUF,2001,9,,"$95,400,000","$10,600,000","$8,000,000",,15.7%,,"$426,295,972","$47,366,219","$35,748,090"
Steve Young,49ers,1998,6,,"$49,175,000","$8,195,833","$7,500,000",,15.6%,,"$282,727,151","$47,121,190","$43,120,562"
Drew Brees,Saints,2016,1,,"$24,250,000","$24,250,000","$24,250,000",,15.6%,,"$47,041,283","$47,041,283","$47,041,283"
Jimmy Garoppolo,49ers,2018,5,,"$137,500,000","$27,500,000","$48,700,000",,15.5%,,"$233,718,962","$46,743,792","$82,779,007"
Russell Wilson,Seahawks,2015,4,,"$87,600,000","$21,900,000","$31,700,000",,15.3%,,"$184,150,754","$46,037,688","$66,639,028"
Ben Roethlisberger,Steelers,2015,4,,"$87,400,000","$21,850,000","$34,250,000",,15.2%,,"$183,730,318","$45,932,580","$71,999,581"
Derek Carr,Raiders,2017,5,,"$125,025,000","$25,005,000","$40,000,000",,15.0%,,"$225,494,192","$45,098,838","$72,143,713"
Peyton Manning,Colts,2011,5,,"$90,000,000","$18,000,000","$20,000,000",,15.0%,,"$225,196,262","$45,039,252","$50,043,614"
Ryan Tannehill,Titans,2020,4,,"$118,000,000","$29,500,000","$62,000,000",,14.9%,,"$179,321,897","$44,830,474","$94,219,980"
Jacoby Brissett,Colts,2019,1,,"$27,975,000","$27,975,000","$20,000,000",,14.9%,,"$44,771,892","$44,771,892","$32,008,502"
Peyton Manning,Colts,1998,6,,"$46,314,000","$7,719,000","$11,600,000",,14.7%,,"$266,278,094","$44,379,682","$66,693,136"
Eli Manning,Giants,2015,4,,"$84,000,000","$21,000,000","$36,500,000",,14.7%,,"$176,582,915","$44,145,729","$76,729,481"
Tony Romo,Cowboys,2013,6,,"$108,000,000","$18,000,000","$40,000,000",,14.6%,,"$264,468,293","$44,078,049","$97,951,220"
Daniel Jones,Colts,2026,2,,"$88,000,000","$44,000,000","$49,490,000",,14.6%,,"$88,000,000","$44,000,000","$49,490,000"
Philip Rivers,Chargers,2015,4,,"$83,250,000","$20,812,500","$37,500,000",,14.5%,,"$175,006,281","$43,751,570","$78,831,658"
Cam Newton,Panthers,2015,5,,"$103,800,000","$20,760,000","$41,000,000",,14.5%,,"$218,206,030","$43,641,206","$86,189,280"
John Elway,Broncos,1996,5,,"$29,500,000","$5,900,000","$6,250,000",,14.5%,,"$218,030,574","$43,606,115","$46,192,918"
Lamar Jackson,Ravens,2023,1,,"$32,416,000","$32,416,000",$0,,14.4%,,"$43,432,826","$43,432,826",$0
Matt Stafford,Lions,2013,3,,"$53,000,000","$17,666,667","$33,500,000",,14.4%,,"$129,785,366","$43,261,789","$82,034,146"
Kirk Cousins,Commanders,2017,1,,"$23,943,600","$23,943,600","$23,943,600",,14.3%,,"$43,184,505","$43,184,505","$43,184,505"
Matt Stafford,Rams,2025,2,,"$80,000,000","$40,000,000","$40,000,000",,14.3%,,"$86,303,725","$43,151,862","$43,151,862"
Colin Kaepernick,49ers,2014,6,,"$114,000,000","$19,000,000","$12,973,766",,14.3%,,"$258,171,429","$43,028,571","$29,381,190"
Joe Flacco,DEN/BAL,2016,3,,"$66,400,000","$22,133,333","$44,000,000",,14.3%,,"$128,805,822","$42,935,273","$85,353,256"
Drew Brees,Saints,2018,2,,"$50,000,000","$25,000,000","$27,000,000",,14.1%,,"$84,988,713","$42,494,357","$45,893,905"
Jake Plummer,Cardinals,1998,4,,"$29,491,200","$7,372,800","$15,000,000",,14.1%,,"$169,556,949","$42,389,237","$86,241,124"
Tom Brady,Patriots,2005,4,,"$48,000,000","$12,000,000","$26,500,000",,14.0%,,"$169,094,737","$42,273,684","$93,354,386"
Tom Brady,Patriots,2010,4,,"$72,000,000","$18,000,000","$18,300,000",,14.0%,,"$168,111,628","$42,027,907","$42,728,372"
Steve Young,49ers,2000,5,,"$43,025,000","$8,605,000",$0,,13.8%,,"$208,439,973","$41,687,995",$0
Tom Brady,Buccaneers,2021,1,,"$25,000,000","$25,000,000","$25,000,000",,13.7%,,"$41,260,274","$41,260,274","$41,260,274"
Jay Cutler,Bears,2014,7,,"$126,700,000","$18,100,000","$38,000,000",,13.6%,,"$286,932,632","$40,990,376","$86,057,143"
Carson Palmer,Cardinals,2016,1,,"$21,000,000","$21,000,000","$11,650,000",,13.5%,,"$40,736,781","$40,736,781","$22,599,214"
Ryan Tannehill,Dolphins,2015,4,,"$77,000,000","$19,250,000","$21,500,000",,13.4%,,"$161,867,672","$40,466,918","$45,196,817"
Geno Smith,Raiders,2025,2,,"$75,000,000","$37,500,000","$58,500,000",,13.4%,,"$80,909,742","$40,454,871","$63,109,599"
Michael Vick,Eagles,2011,5,,"$80,000,000","$16,000,000","$32,500,000",,13.3%,,"$200,174,455","$40,034,891","$81,320,872"
Alex Smith,Commanders,2018,4,,"$94,000,000","$23,500,000","$55,000,000",,13.3%,,"$159,778,781","$39,944,695","$93,487,585"
Eli Manning,Giants,2009,6,,"$97,500,000","$16,250,000","$20,500,000",,13.2%,,"$238,756,098","$39,792,683","$50,200,000"
Tom Brady,Patriots,2016,2,,"$41,000,000","$20,500,000","$28,000,000",,13.2%,,"$79,533,715","$39,766,858","$54,315,708"
Steve McNair,Titans,2004,6,,"$63,250,010","$10,541,668","$6,090,000",,13.1%,,"$236,416,359","$39,402,725","$22,763,247"
Baker Mayfield,Buccaneers,2024,3,,"$100,000,000","$33,333,333","$40,000,000",,13.1%,,"$117,932,655","$39,310,884","$47,173,062"
Matt Schaub,Texans,2012,4,,"$62,000,000","$15,500,000","$24,250,000",,12.9%,,"$154,845,771","$38,711,443","$60,564,677"
Kirk Cousins,Commanders,2016,1,,"$19,953,000","$19,953,000","$19,953,000",,12.9%,,"$38,705,762","$38,705,762","$38,705,762"
Alex Smith,Chiefs,2014,4,,"$68,000,000","$17,000,000","$19,000,000",,12.8%,,"$153,996,992","$38,499,248","$43,028,571"
Dan Marino,Dolphins,1999,3,,"$21,750,000","$7,250,000","$2,545,000",,12.7%,,"$114,353,791","$38,117,930","$13,380,708"
Ben Roethlisberger,Steelers,2008,6,,"$87,986,500","$14,664,417","$33,200,000",,12.6%,,"$228,461,498","$38,076,917","$86,205,517"
Steve McNair,Titans,2001,5,,"$42,542,500","$8,508,500","$10,000,000",,12.6%,,"$190,101,639","$38,020,328","$44,685,112"
Tom Brady,Buccaneers,2020,2,,"$50,000,000","$25,000,000","$50,000,000",,12.6%,,"$75,983,855","$37,991,927","$75,983,855"
Drew Brees,Saints,2020,2,,"$50,000,000","$25,000,000","$25,000,000",,12.6%,,"$75,983,855","$37,991,927","$37,991,927"
Philip Rivers,Colts,2020,1,,"$25,000,000","$25,000,000","$25,000,000",,12.6%,,"$37,991,927","$37,991,927","$37,991,927"
Daniel Jones,Colts,2026,1,,"$37,833,000","$37,833,000",$0,,12.6%,,"$37,833,000","$37,833,000",$0
Philip Rivers,Chargers,2009,6,,"$91,800,000","$15,300,000","$33,350,000",,12.4%,,"$224,798,049","$37,466,341","$81,666,829"
Carson Palmer,Cardinals,2014,3,,"$49,500,000","$16,500,000","$14,235,294",,12.4%,,"$112,100,752","$37,366,917","$32,238,124"
Brett Favre,Vikings,2010,1,,"$16,000,000","$16,000,000","$4,400,000",,12.4%,,"$37,358,140","$37,358,140","$10,273,488"
Tom Brady,Patriots,2019,1,,"$23,000,000","$23,000,000","$22,000,000",,12.2%,,"$36,809,777","$36,809,777","$35,209,352"
Andy Dalton,Bengals,2014,6,,"$96,000,000","$16,000,000","$17,000,000",,12.0%,,"$217,407,519","$36,234,586","$38,499,248"
Sam Darnold,Seahawks,2025,3,,"$100,500,000","$33,500,000","$37,500,000",,12.0%,,"$108,419,054","$36,139,685","$40,454,871"
Tim Couch,Browns,1999,7,,"$47,950,000","$6,850,000","$12,250,000",,12.0%,,"$252,104,106","$36,014,872","$64,406,158"
Peyton Manning,Broncos,2015,2,,"$34,000,000","$17,000,000","$15,000,000",,11.9%,,"$71,474,037","$35,737,018","$31,532,663"
Donovan McNabb,Eagles,2002,8,,"$67,188,235","$8,398,529","$13,500,000",,11.8%,,"$284,624,638","$35,578,078","$57,189,069"
Rob Johnson,Bills,1998,4,,"$24,650,000","$6,162,500","$8,500,000",,11.8%,,"$141,722,914","$35,430,728","$48,869,970"
Jay Cutler,Bears,2009,2,,"$28,912,499","$14,456,250","$20,000,000",,11.8%,,"$70,800,363","$35,400,183","$48,975,610"
Nick Foles,JAX/CHI,2019,4,,"$88,000,000","$22,000,000","$45,125,000",,11.7%,,"$140,837,407","$35,209,352","$72,219,182"
Tyrod Taylor,Bills,2016,5,,"$90,000,000","$18,000,000","$9,500,000",,11.6%,,"$174,586,205","$34,917,241","$18,428,544"
Brock Osweiler,HOU/CLE,2016,4,,"$72,000,000","$18,000,000","$37,000,000",,11.6%,,"$139,668,964","$34,917,241","$71,774,329"
Donovan McNabb,Commanders,2010,5,,"$74,250,000","$14,850,000","$5,000,000",,11.5%,,"$173,365,116","$34,673,023","$11,674,419"
Chad Pennington,Jets,2004,7,,"$64,198,000","$9,171,143","$18,000,000",,11.4%,,"$239,959,763","$34,279,967","$67,280,534"
Sam Bradford,Cardinals,2018,2,,"$40,000,000","$20,000,000","$15,000,000",,11.3%,,"$67,990,971","$33,995,485","$25,496,614"
Sam Bradford,PHI/MIN,2016,2,,"$35,000,000","$17,500,000","$22,000,000",,11.3%,,"$67,894,635","$33,947,318","$42,676,628"
Mark Sanchez,Jets,2012,3,,"$40,475,000","$13,491,667","$11,250,000",,11.2%,,"$101,086,816","$33,695,606","$28,097,015"
Mark Brunell,Jaguars,2001,4,,"$30,000,000","$7,500,000","$8,000,000",,11.1%,,"$134,055,337","$33,513,834","$35,748,090"
Geno Smith,LV/SEA,2023,3,,"$75,000,000","$25,000,000","$27,300,000",,11.1%,,"$100,489,324","$33,496,441","$36,578,114"
Brett Favre,Packers,1994,5,,"$19,000,000","$3,800,000","$2,500,000",,11.0%,,"$165,360,610","$33,072,122","$21,757,975"
Aaron Rodgers,Packers,2008,5,,"$63,520,000","$12,704,000","$20,000,000",,11.0%,,"$164,932,966","$32,986,593","$51,931,034"
Jimmy Garoppolo,Raiders,2023,3,,"$72,750,000","$24,250,000","$33,750,000",,10.8%,,"$97,474,644","$32,491,548","$45,220,196"
Kurt Warner,Rams,2000,7,,"$46,500,000","$6,642,857","$11,500,000",,10.7%,,"$225,275,043","$32,182,148","$55,713,183"
Teddy Bridgewater,Panthers,2020,3,,"$63,000,000","$21,000,000","$33,000,000",,10.6%,,"$95,739,657","$31,913,219","$50,149,344"
Steve McNair,Titans,1995,7,,"$27,441,750","$3,920,250","$12,181,000",,10.6%,,"$222,788,547","$31,826,935","$98,892,647"
Tom Brady,Patriots,2002,4,,"$29,625,000","$7,406,250","$9,500,000",,10.4%,,"$125,498,235","$31,374,559","$40,244,160"
Tony Romo,Cowboys,2007,6,,"$67,500,000","$11,250,000","$11,500,000",,10.3%,,"$186,522,936","$31,087,156","$31,777,982"
Kevin Kolb,Cardinals,2011,5,,"$62,108,000","$12,421,600","$12,000,000",,10.3%,,"$155,405,438","$31,081,088","$30,026,168"
Brett Favre,Vikings,2009,2,,"$25,000,000","$12,500,000","$6,000,000",,10.2%,,"$61,219,512","$30,609,756","$14,692,683"
Case Keenum,Broncos,2018,2,,"$36,000,000","$18,000,000","$25,000,000",,10.2%,,"$61,191,874","$30,595,937","$42,494,357"
Sam Bradford,Rams,2010,5,,"$78,000,000","$13,000,000","$50,000,000",,10.1%,,"$182,120,930","$30,353,488","$116,744,186"
Colin Kaepernick,49ers,2016,2,,"$31,200,000","$15,600,000","$13,275,000",,10.0%,,"$60,523,218","$30,261,609","$25,751,465"
Eli Manning,Giants,2004,6,,"$47,990,000","$7,998,333","$20,004,000",,9.9%,,"$179,377,380","$29,896,229","$74,771,100"
Blake Bortles,Jaguars,2018,2,,"$34,947,000","$17,483,500","$26,500,000",,9.9%,,"$59,402,011","$29,718,003","$45,044,018"
Donovan McNabb,Eagles,1999,7,,"$39,550,000","$5,650,000","$11,300,000",,9.9%,,"$207,939,883","$29,705,698","$59,411,395"
Donovan McNabb,Eagles,2009,2,,"$24,200,000","$12,100,000","$15,500,000",,9.8%,,"$59,260,488","$29,630,244","$37,956,098"
Drew Brees,Saints,2006,5,,"$60,000,000","$10,000,000","$8,000,000",,9.8%,,"$177,176,471","$29,529,412","$23,623,529"
David Carr,Texans,2002,7,,"$48,750,000","$6,964,286","$14,000,000",,9.8%,,"$206,516,083","$29,502,299","$59,307,183"
Matt Stafford,Lions,2009,6,,"$72,000,000","$12,000,000","$17,050,000",,9.8%,,"$176,312,195","$29,385,366","$41,751,707"
Matt Ryan,Falcons,2008,6,,"$67,500,000","$11,250,000","$34,750,000",,9.7%,,"$175,267,241","$29,211,207","$90,230,172"
Alex Smith,49ers,2005,6,,"$49,500,000","$8,250,000","$24,000,000",,9.6%,,"$174,378,947","$29,063,158","$84,547,368"
Brian Griese,Broncos,2001,6,,"$39,000,000","$6,500,000","$12,600,000",,9.6%,,"$174,271,938","$29,045,323","$56,303,242"
Kevin Kolb,Eagles,2010,1,,"$12,222,000","$12,222,000","$12,222,000",,9.5%,,"$28,536,949","$28,536,949","$28,536,949"
Drew Brees,Chargers,2005,1,,"$8,078,000","$8,078,000","$8,078,000",,9.4%,,"$28,457,235","$28,457,235","$28,457,235"
Matt Hasselbeck,Seahawks,2005,6,,"$48,000,000","$8,000,000","$17,000,000",,9.4%,,"$169,094,737","$28,182,456","$59,887,719"
Kurt Warner,Cardinals,2009,2,,"$23,000,000","$11,500,000","$19,000,000",,9.3%,,"$56,321,951","$28,160,976","$46,526,829"
JaMarcus Russell,Raiders,2007,6,,"$61,000,000","$10,166,667","$29,019,120",,9.3%,,"$168,561,468","$28,093,579","$80,188,614"
Sam Bradford,Eagles,2010,1,,"$78,000,000","$12,000,000","$50,000,000",,9.3%,,"$182,120,930","$28,018,605","$116,744,186"
Tom Brady,Patriots,2013,5,,"$57,000,000","$11,400,000","$33,000,000",,9.3%,,"$139,580,488","$27,916,098","$80,809,756"
Michael Vick,Falcons,2001,6,,"$37,300,000","$6,216,667","$22,500,000",,9.2%,,"$166,675,469","$27,779,246","$100,541,503"
Tyrod Taylor,CLE/BUF,2017,2,,"$30,500,000","$15,250,000","$15,500,000",,9.1%,,"$55,009,581","$27,504,790","$27,955,689"
Mike Glennon,Bears,2017,3,,"$45,000,000","$15,000,000","$18,500,000",,9.0%,,"$81,161,677","$27,053,892","$33,366,467"
Carson Palmer,Raiders,2011,4,,"$43,000,000","$10,750,000","$5,000,000",,8.9%,,"$107,593,769","$26,898,442","$12,510,903"
Carson Palmer,Bengals,2003,6,,"$40,000,000","$6,666,667","$14,010,000",,8.9%,,"$160,625,008","$26,770,836","$56,258,909"
Jason Campbell,Commanders,2005,5,,"$7,500,000","$7,500,000","$4,970,000",,8.8%,,"$26,421,053","$26,421,053","$17,508,351"
Nick Foles,Rams,2015,2,,"$25,000,000","$12,250,000","$12,042,000",,8.5%,,"$52,554,439","$25,751,675","$25,314,422"
Matt Cassel,Chiefs,2009,6,,"$63,000,000","$10,500,000","$27,750,000",,8.5%,,"$154,273,171","$25,712,195","$67,953,659"
Philip Rivers,Chargers,2004,6,,"$41,250,000","$6,875,000","$15,580,000",,8.5%,,"$154,184,557","$25,697,426","$58,235,040"
Nick Foles,Eagles,2018,2,,"$29,000,000","$14,500,000","$5,000,000",,8.2%,,"$49,293,454","$24,646,727","$8,498,871"
Ryan Fitzpatrick,Bills,2011,6,,"$59,000,000","$9,833,333","$10,000,000",,8.2%,,"$147,628,660","$24,604,776","$25,021,807"
Vince Young,Titans,2006,4,,"$48,040,020","$8,006,670","$25,740,020",,7.8%,,"$141,859,353","$23,643,226","$76,008,765"
Jake Plummer,Broncos,2003,7,,"$40,834,725","$5,833,532","$7,000,000",,7.8%,,"$163,976,951","$23,425,278","$28,109,376"
Ryan Fitzpatrick,Jets,2016,1,,"$12,000,000","$12,000,000","$12,000,000",,7.7%,,"$23,278,161","$23,278,161","$23,278,161"
Mark Sanchez,Jets,2009,5,,"$47,500,000","$9,500,000","$13,997,500",,7.7%,,"$116,317,073","$23,263,415","$34,276,805"
Mark Brunell,Commanders,2004,7,,"$43,360,000","$6,194,286","$8,600,000",,7.7%,,"$162,071,331","$23,153,048","$32,145,144"
Ben Roethlisberger,Steelers,2021,1,,"$14,000,000","$14,000,000","$14,000,000",,7.7%,,"$23,105,753","$23,105,753","$23,105,753"
Drew Bledsoe,Bills,2004,3,,"$18,500,000","$6,166,667","$6,500,000",,7.7%,,"$69,149,438","$23,049,814","$24,295,748"
Brian Griese,Buccaneers,2005,5,,"$32,265,000","$6,453,000","$3,000,000",,7.5%,,"$113,663,368","$22,732,674","$10,568,421"
Malik Willis,Dolphins,2026,3,,"$67,500,000","$22,500,000","$45,000,000",,7.5%,,"$67,500,000","$22,500,000","$45,000,000"
Brian Griese,Buccaneers,2004,3,,"$17,950,000","$5,983,333","$400,000",,7.4%,,"$67,093,644","$22,364,547","$1,495,123"
Baker Mayfield,CAR/LAR,2022,1,,"$15,358,000","$15,358,000","$15,358,000",,7.4%,,"$22,218,202","$22,218,202","$22,218,202"
Matt Schaub,Texans,2007,6,,"$48,000,000","$8,000,000","$7,000,000",,7.3%,,"$132,638,532","$22,106,422","$19,343,119"
Matt Hasselbeck,Seahawks,2000,4,,"$18,105,000","$4,526,250","$2,000,000",,7.3%,,"$87,711,928","$21,927,982","$9,689,249"
Justin Fields,Jets,2025,2,,"$40,000,000","$20,000,000","$30,000,000",,7.2%,,"$43,151,862","$21,575,931","$32,363,897"
Carson Palmer,Cardinals,2013,2,,"$17,000,000","$8,500,000","$10,000,000",,6.9%,,"$41,629,268","$20,814,634","$24,487,805"
