source_player_id,prospect_id,match_score,notes
8443,1701,1.0,rule_norm_name_school (Notre Dame)
9520,1199,0.85,rule_unique_name_key (no_school)
9943,1199,0.85,rule_unique_name_key (no_school)
10435,1199,0.85,rule_unique_name_key (no_school)
9155,1053,0.85,rule_unique_name_key (no_school)
9638,1053,0.85,rule_unique_name_key (no_school)
10135,1053,0.85,rule_unique_name_key (no_school)
9469,1054,0.85,rule_unique_name_key (no_school)
10008,1054,0.85,rule_unique_name_key (no_school)
10487,1054,0.85,rule_unique_name_key (no_school)
4947,1055,0.85,rule_unique_name_key (no_school)
5502,1055,0.85,rule_unique_name_key (no_school)
6970,1055,0.85,rule_unique_name_key (no_school)
10042,1784,0.85,rule_unique_name_key (no_school)
10542,1784,0.85,rule_unique_name_key (no_school)
4972,1677,1.0,rule_norm_name_school (LSU)
8624,1677,1.0,rule_norm_name_school (LSU)
