source_player_id,raw_full_name,raw_school,school_canonical,pos_hint,name_key,reason,status,resolved_prospect_id,candidate_json
751,PK Dominic Zvada,,,PK,pkdominiczvada,no_candidates_for_name_key,open,,[]
763,DE/ED Wesley Williams,,,DE/ED,deedwesleywilliams,no_candidates_for_name_key,open,,[]
767,LB/ED Dasan McCullough,,,LB/ED,lbeddasanmccullough,no_candidates_for_name_key,open,,[]
785,LB/ED Marvin Jones Jr.,,,LB/ED,lbedmarvinjones,no_candidates_for_name_key,open,,[]
798,DE/ED Kamran James,,,DE/ED,deedkamranjames,no_candidates_for_name_key,open,,[]
812,DE/ED Aidan Hubbard,,,DE/ED,deedaidanhubbard,no_candidates_for_name_key,open,,[]
821,DE/ED Keaten Wade,,,DE/ED,deedkeatenwade,no_candidates_for_name_key,open,,[]
826,DL/ED Korey Foreman,,,DL/ED,dledkoreyforeman,no_candidates_for_name_key,open,,[]
849,LB/ED Jackie Marshall,,,LB/ED,lbedjackiemarshall,no_candidates_for_name_key,open,,[]
855,LB/ED Mitchell Melton,,,LB/ED,lbedmitchellmelton,no_candidates_for_name_key,open,,[]
865,DL/ED Clayton Smith,,,DL/ED,dledclaytonsmith,no_candidates_for_name_key,open,,[]
872,LB/ED Demon Clowney,,,LB/ED,lbeddemonclowney,no_candidates_for_name_key,open,,[]
876,DL/ED Reggie Grimes II,,,DL/ED,dledreggiegrimes,no_candidates_for_name_key,open,,[]
895,LB/ED Keanu Koht,,,LB/ED,lbedkeanukoht,no_candidates_for_name_key,open,,[]
900,DL/ED Khordae Sydnor,,,DL/ED,dledkhordaesydnor,no_candidates_for_name_key,open,,[]
904,LB/ED Sam M'Pemba,,,LB/ED,lbedsammpemba,no_candidates_for_name_key,open,,[]
914,DE/ED Cade Denhoff,,,DE/ED,deedcadedenhoff,no_candidates_for_name_key,open,,[]
455,CB Mansoor Delane,,,CB,mansoordelane,ambiguous_name_key_2,resolved,10,"[{""prospect_id"": 10, ""display_name"": ""Mansoor Delane"", ""position_group"": ""CB"", ""school_canonical"": ""LSU""}, {""prospect_id"": 790, ""display_name"": ""Mansoor Delane"", ""position_group"": ""RB"", ""school_canonical"": ""LSU""}]"
456,CB Jermod McCoy,,,CB,jermodmccoy,ambiguous_name_key_2,resolved,12,"[{""prospect_id"": 12, ""display_name"": ""Jermod Mccoy"", ""position_group"": ""CB"", ""school_canonical"": ""Tennessee""}, {""prospect_id"": 792, ""display_name"": ""Jermod Mccoy"", ""position_group"": ""RB"", ""school_canonical"": ""Tennessee""}]"
466,CB Avieon Terrell,,,CB,avieonterrell,ambiguous_name_key_2,resolved,19,"[{""prospect_id"": 19, ""display_name"": ""Avieon Terrell"", ""position_group"": ""CB"", ""school_canonical"": ""Clemson""}, {""prospect_id"": 791, ""display_name"": ""Avieon Terrell"", ""position_group"": ""RB"", ""school_canonical"": ""Clemson""}]"
474,CB Colton Hood,,,CB,coltonhood,ambiguous_name_key_2,resolved,48,"[{""prospect_id"": 48, ""display_name"": ""Colton Hood"", ""position_group"": ""CB"", ""school_canonical"": ""Tennessee""}, {""prospect_id"": 795, ""display_name"": ""Colton Hood"", ""position_group"": ""RB"", ""school_canonical"": ""Tennessee""}]"
482,CB Brandon Cisse,,,CB,brandoncisse,ambiguous_name_key_2,resolved,32,"[{""prospect_id"": 32, ""display_name"": ""Brandon Cisse"", ""position_group"": ""CB"", ""school_canonical"": ""South Carolina""}, {""prospect_id"": 793, ""display_name"": ""Brandon Cisse"", ""position_group"": ""RB"", ""school_canonical"": ""South Carolina""}]"
496,S Michael Taaffe,,,S,michaeltaaffe,ambiguous_name_key_2,resolved,138,"[{""prospect_id"": 138, ""display_name"": ""Michael Taaffe"", ""position_group"": ""S"", ""school_canonical"": ""Texas""}, {""prospect_id"": 733, ""display_name"": ""Michael Taaffe"", ""position_group"": ""CB"", ""school_canonical"": ""Texas""}]"
500,S A.J. Haulcy,,,S,ajhaulcy,ambiguous_name_key_2,resolved,43,"[{""prospect_id"": 43, ""display_name"": ""A.j.haulcy"", ""position_group"": ""S"", ""school_canonical"": ""LSU""}, {""prospect_id"": 645, ""display_name"": ""AJ Haulcy"", ""position_group"": ""S"", ""school_canonical"": ""LSU""}]"
561,CB Jalon Kilgore,,,CB,jalonkilgore,ambiguous_name_key_2,resolved,153,"[{""prospect_id"": 153, ""display_name"": ""Jalon Kilgore"", ""position_group"": ""CB"", ""school_canonical"": ""South Carolina""}, {""prospect_id"": 643, ""display_name"": ""Jalon Kilgore"", ""position_group"": ""S"", ""school_canonical"": ""South Carolina""}]"
571,OT J.C. Davis,,,OT,jcdavis,ambiguous_name_key_2,resolved,120,"[{""prospect_id"": 120, ""display_name"": ""J.c.davis"", ""position_group"": ""OL"", ""school_canonical"": ""Illinois""}, {""prospect_id"": 660, ""display_name"": ""JC Davis"", ""position_group"": ""OL"", ""school_canonical"": ""Illinois""}]"
602,S Louis Moore,,,S,louismoore,ambiguous_name_key_2,resolved,283,"[{""prospect_id"": 283, ""display_name"": ""Louis Moore"", ""position_group"": ""S"", ""school_canonical"": ""Indiana""}, {""prospect_id"": 735, ""display_name"": ""Louis Moore"", ""position_group"": ""CB"", ""school_canonical"": ""Indiana""}]"
630,S Xavier Nwankpa,,,S,xaviernwankpa,ambiguous_name_key_2,resolved,292,"[{""prospect_id"": 292, ""display_name"": ""Xavier Nwankpa"", ""position_group"": ""S"", ""school_canonical"": ""Iowa""}, {""prospect_id"": 742, ""display_name"": ""Xavier Nwankpa"", ""position_group"": ""CB"", ""school_canonical"": ""Iowa""}]"
650,S Dalton Johnson,,,S,daltonjohnson,ambiguous_name_key_2,resolved,384,"[{""prospect_id"": 384, ""display_name"": ""Dalton Johnson"", ""position_group"": ""S"", ""school_canonical"": ""Arizona""}, {""prospect_id"": 751, ""display_name"": ""Dalton Johnson"", ""position_group"": ""CB"", ""school_canonical"": ""Arizona""}]"
658,CB Jadon Canady,,,CB,jadoncanady,ambiguous_name_key_2,resolved,202,"[{""prospect_id"": 202, ""display_name"": ""Jadon Canady"", ""position_group"": ""CB"", ""school_canonical"": ""Oregon""}, {""prospect_id"": 775, ""display_name"": ""Jadon Canady"", ""position_group"": ""S"", ""school_canonical"": ""Oregon""}]"
673,S Jalen Huskey,,,S,jalenhuskey,ambiguous_name_key_2,resolved,329,"[{""prospect_id"": 329, ""display_name"": ""Jalen Huskey"", ""position_group"": ""S"", ""school_canonical"": ""Maryland""}, {""prospect_id"": 746, ""display_name"": ""Jalen Huskey"", ""position_group"": ""CB"", ""school_canonical"": ""Maryland""}]"
773,S DeShon Singleton,,,S,deshonsingleton,ambiguous_name_key_2,resolved,319,"[{""prospect_id"": 319, ""display_name"": ""Deshon Singleton"", ""position_group"": ""S"", ""school_canonical"": ""Nebraska""}, {""prospect_id"": 743, ""display_name"": ""Deshon Singleton"", ""position_group"": ""CB"", ""school_canonical"": ""Nebraska""}]"
797,S Duce Chestnut,,,S,ducechestnut,ambiguous_name_key_2,resolved,535,"[{""prospect_id"": 535, ""display_name"": ""Duce Chestnut"", ""position_group"": ""S"", ""school_canonical"": ""Syracuse""}, {""prospect_id"": 700, ""display_name"": ""Duce Chestnut"", ""position_group"": ""CB"", ""school_canonical"": ""Syracuse""}]"
839,S Kendal Daniels,,,S,kendaldaniels,ambiguous_name_key_2,resolved,360,"[{""prospect_id"": 360, ""display_name"": ""Kendal Daniels"", ""position_group"": ""S"", ""school_canonical"": ""Oklahoma""}, {""prospect_id"": 649, ""display_name"": ""Kendal Daniels"", ""position_group"": ""LB"", ""school_canonical"": ""Oklahoma""}]"
921,S Lorenzo Styles Jr.,,,S,lorenzostyles,ambiguous_name_key_2,resolved,231,"[{""prospect_id"": 231, ""display_name"": ""Lorenzo Styles"", ""position_group"": ""S"", ""school_canonical"": ""Ohio State""}, {""prospect_id"": 737, ""display_name"": ""Lorenzo Styles"", ""position_group"": ""CB"", ""school_canonical"": ""Ohio State""}]"
