source_player_id,raw_full_name,raw_school_or_json,reason
5708,Braxton Ashcraft,PIT,no_match_name_key
5633,Brayan Bello,BOS,no_match_name_key
5863,Brayan Rocchio,CLE,no_match_name_key
5667,Brayden Taylor,TB,no_match_name_key
6026,Braylon Doughty,CLE,no_match_name_key
5761,Braylon Payne,MIL,no_match_name_key
6016,Brendan Rodgers,HOU,no_match_name_key
9559,Brenden Rice,LAC,no_match_name_key
7034,Brennan Presley,,no_match_name_key
8702,Brennan Presley,Oklahoma State,no_match_name_key
5693,Brett Baty,NYM,no_match_name_key
5993,Brett Wichrowski,MIL,no_match_name_key
7140,Brian Ugwu,,no_match_name_key
5702,Brice Matthews,HOU,no_match_name_key
5983,Brock Porter,TEX,no_match_name_key
5769,Brock Wilken,MIL,no_match_name_key
5962,Brody Brecht,COL,no_match_name_key
5912,Brody Hopkins,TB,no_match_name_key
6031,Brooks Baldwin,CWS,no_match_name_key
5651,Brooks Lee,MIN,no_match_name_key
8969,Bru McCoyTennessee,,no_match_name_key
5782,Bryan Abreu,HOU,no_match_name_key
7066,Bryan Felter,,no_match_name_key
5915,Bryan Ramos,CWS,no_match_name_key
4951,Bryce Cabeldue,,no_match_name_key
5549,Bryce Eldridge,SF,no_match_name_key
5647,Bryce Rainer,DET,no_match_name_key
7068,Bryson Eason,,ambiguous_name_key_2
5528,Bubba Chandler,PIT,no_match_name_key
5598,Byron Buxton,MIN,no_match_name_key
5773,Cade Cavalli,WSH,no_match_name_key
5604,Cade Horton,CHC,no_match_name_key
5656,Caden Dana,LAA,no_match_name_key
6685,Caden Jenkins,Baylor,no_match_name_key
5039,Caden Prieskorn,Ole Miss,no_match_name_key
7090,Caden Prieskorn,,no_match_name_key
5688,Cade Povich,BAL,no_match_name_key
10606,Caleb Banks,,ambiguous_name_key_4
10895,Caleb Banks,,ambiguous_name_key_4
10945,Caleb Banks,,ambiguous_name_key_4
5757,Caleb Durbin,MIL,no_match_name_key
4888,Caleb Ransaw,,no_match_name_key
6927,Caleb Ransaw,,no_match_name_key
8959,Caleb RogersTexas,,no_match_name_key
7120,Cal Haladay,,no_match_name_key
6697,Calvin Simpson-Hunt,Ohio State,no_match_name_key
5736,Cam Caminiti,ATL,no_match_name_key
5657,Cam Collier,CIN,no_match_name_key
6705,Cameron Seldon,Tennessee,no_match_name_key
8854,Cameron WilliamsTexas,,no_match_name_key
4921,Cam Horsley,,ambiguous_name_key_2
6960,Cam Horsley,,ambiguous_name_key_2
5800,Camilo Doval,SF,no_match_name_key
8962,Cam JacksonFlorida,,no_match_name_key
7201,Campbell Barrington,,no_match_name_key
8751,Cam'Ron Johnson,Missouri,no_match_name_key
8704,Cam'Ron Silmon-Craig,Colorado,no_match_name_key
5537,Cam Smith,HOU,no_match_name_key
8785,Cam WardMiami,,no_match_name_key
8705,Car'Lin Vigers,Louisiana–Monroe,no_match_name_key
5952,Carlos Santana,CLE,no_match_name_key
5779,Carson Benge,NYM,no_match_name_key
5970,Carson Kelly,CHC,no_match_name_key
4722,Carson Schwesinger,,no_match_name_key
6790,Carson Schwesinger,,no_match_name_key
8912,Carson VinsonAlabama,,no_match_name_key
5716,Carson Whisenhunt,SF,no_match_name_key
5546,Carson Williams,TB,no_match_name_key
5891,Carter Jensen,KC,no_match_name_key
8667,Carter Runyon,Towson,no_match_name_key
9548,Case Keenum,CHI,no_match_name_key
6703,Cayden Green,Oklahoma,no_match_name_key
5601,Ceddanne Rafaela,BOS,no_match_name_key
5986,Chad Green,TOR,no_match_name_key
5027,Chandler Martin,Memphis,no_match_name_key
7063,Chandler Martin,,no_match_name_key
7161,Chandler Morris,,no_match_name_key
5636,Chandler Simpson,TB,no_match_name_key
7204,Chantz Williams,,no_match_name_key
5958,Charlee Soto,MIN,no_match_name_key
4746,Charles Grant,,no_match_name_key
6811,Charles Grant,,no_match_name_key
6681,Charles Jaguash,Notre Dame,no_match_name_key
5563,Charlie Condon,COL,no_match_name_key
5875,Charlie Morton,BAL,no_match_name_key
5545,Chase Burns,CIN,no_match_name_key
5997,Chase Davis,STL,no_match_name_key
5569,Chase DeLauter,CLE,no_match_name_key
5944,Chase Hampton,NYY,no_match_name_key
4827,Chase Lundt,,no_match_name_key
6889,Chase Lundt,,no_match_name_key
5889,Chase Meidroth,CWS,no_match_name_key
5700,Chase Petty,CIN,no_match_name_key
8752,Chaz Chambliss,Georgia,no_match_name_key
7183,Chico Bennett Jr.,,no_match_name_key
7137,Chidozie Nwankwo,,no_match_name_key
8892,Chimere DikeFlorida,,no_match_name_key
9577,Chris Blair,ATL,no_match_name_key
9948,Chris Boswell,PIT,no_match_name_key
8623,Chris Martin,TEX,no_match_name_key
10678,Chris McClellan,,ambiguous_name_key_2
10621,Christen Miller,,ambiguous_name_key_4
10907,Christen Miller,,ambiguous_name_key_4
10957,Christen Miller,,ambiguous_name_key_4
5586,Christian Encarnacion-Strand,CIN,no_match_name_key
6691,Christian Gray,Notre Dame,no_match_name_key
5556,Christian Moore,LAA,no_match_name_key
5655,Christian Scott,NYM,no_match_name_key
5648,Christopher Morel,TB,no_match_name_key
7168,Chris Tyree,,no_match_name_key
6631,CJ Baxter,Texas,no_match_name_key
9023,CJ DippreAlabama,,no_match_name_key
7200,Clarence Lewis,,no_match_name_key
10074,Clayton Tune,ARI,no_match_name_key
5550,Coby Mayo,BAL,no_match_name_key
5744,Cody Bradford,TEX,no_match_name_key
8909,Cody SimonOhio,,no_match_name_key
5685,Colby Thomas,ATH,no_match_name_key
5745,Cole Carrigg,COL,no_match_name_key
5613,Cole Young,SEA,no_match_name_key
7010,Collin Oliver,,no_match_name_key
7141,Collin Schlee,,no_match_name_key
