normalized_name,display_name,pos,school,in_ras,in_jfoster,ras_score,jfoster_rank,season_id
caden curry,Caden Curry,DE,Ohio State,1,1,,201,1
caden fordham,Caden Fordham,LB,NC State,0,1,,?,1
caleb banks,Caleb Banks,DT,Florida,1,1,9.86,16,1
caleb douglas,Caleb Douglas,WR,Texas Tech,1,1,9.45,?,1
caleb downs,Caleb Downs,FS,Ohio State,1,1,,6,1
caleb lomu,Caleb Lomu,OT,Utah,1,1,9.89,24,1
caleb tiernan,Caleb Tiernan,OT,Northwestern,1,1,,109,1
caleb weaver,Caleb Weaver,S,Duke,1,0,,,1
cam miller,Cam Miller,CB,Rutgers,1,1,,?,1
cam rice,Cam Rice,DL,Maryland,0,1,,?,1
cam robertson,Cam Robertson,ED,SMU,0,1,,?,1
cam smith,Cam Smith,CB,Oklahoma State,1,1,,?,1
cam'ron stewart,Cam'Ron Stewart,ED,Temple,1,1,,?,1
cameron ball,Cameron Ball,DT,Arkansas,1,1,7.82,?,1
cameron robertson,Cameron Robertson,ED,SMU,1,0,,,1
cameron whitfield,Cameron Whitfield,ED,Louisiana,1,1,,?,1
carlos allen jr.,Carlos Allen Jr.,DL,Houston,0,1,,?,1
carnell tate,Carnell Tate,WR,Ohio State,1,1,,4,1
carsen ryan,Carsen Ryan,TE,BYU,0,1,,?,1
carson beck,Carson Beck,QB,Miami,1,1,,160,1
carver willis,Carver Willis,OT,Washington,1,1,6.27,126,1
cash jones,Cash Jones,HB,Georgia,0,1,,?,1
cashius howell,Cashius Howell,DE,Texas A&M,1,1,8.12,52,1
caullin lacy,Caullin Lacy,WR,Louisville,1,1,2.95,?,1
ceyair wright,Ceyair Wright,CB,Nebraska,1,1,,?,1
chamon metayer,Chamon Metayer,TE,Arizona State,0,1,,?,1
chandler morris,Chandler Morris,QB,Virginia,0,1,,?,1
chandler rivers,Chandler Rivers,CB,Duke,1,1,8.8,146,1
channing canada,Channing Canada,CB,TCU,0,1,,?,1
charles demmings,Charles Demmings,CB,Stephen F. Austin,1,1,9.97,168,1
charlie demmings,Charlie Demmings,CB,Stephen F. Austin,1,0,,,1
chase bisontis,Chase Bisontis,OG,Texas A&M,1,1,9.84,35,1
chase mason,Chase Mason,QB,South Dakota State,0,1,,?,1
chase roberts,Chase Roberts,WR,BYU,1,1,7.81,225,1
chase wilson,Chase Wilson,LB,West Virginia,1,1,,?,1
chip trayanum,Chip Trayanum,RB,Toledo,1,1,,279,1
chris adams,Chris Adams,OT,Memphis,1,1,,239,1
chris bell,Chris Bell,WR,Louisville,1,1,,46,1
chris brazzell ii,Chris Brazzell II,WR,Tennessee,1,1,,71,1
chris hilton,Chris Hilton,WR,LSU,1,0,,,1
chris hilton jr.,Chris Hilton Jr.,WR,Louisiana State,1,1,6.21,?,1
chris johnson,Chris Johnson,CB,San Diego State,1,1,9.71,39,1
chris lewis,Chris Lewis,WR,Troy,1,0,,,1
chris mcclellan,Chris McClellan,DT,Missouri,1,1,8.22,?,1
chris thomas,Chris Thomas,DT,Syracuse,1,0,,,1
